,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
350,Sistranda,40,NO,1571781428,70,63.73,63.73,44.6,16.58
351,Itapaci,100,BR,1571781430,78,-14.95,-14.95,77.49,2.48
352,Havre-Saint-Pierre,1,CA,1571781168,72,50.23,50.23,39.2,5.79
353,Hanzhong,100,CN,1571781433,94,33.08,33.08,55.49,1.96
354,Rafsanjan,0,IR,1571781435,31,30.4,30.4,57.79,1.77
355,Madang,100,CN,1571781437,61,35.32,35.32,42.93,1.92
356,Ingham,6,AU,1571781438,84,-18.65,-18.65,68.34,0.8
357,Lata,0,IN,1571781440,40,30.78,30.78,25.52,2.29
358,San Carlos de Bariloche,0,AR,1571781422,35,-41.13,-41.13,57.99,1.43
359,Yulara,0,AU,1571781443,16,-25.24,-25.24,64.4,4.18
360,Esna,0,RO,1571781445,62,45.2,45.2,58.08,3.65
361,Riyadh,0,SA,1571781272,35,24.63,24.63,73.4,2.41
362,Beisfjord,100,NO,1571781449,93,68.38,68.38,37.4,14.97
363,Alofi,75,NU,1571781450,74,-19.06,-19.06,80.6,8.21
364,Zhigansk,94,RU,1571781452,94,66.77,66.77,9.14,4.07
365,Garowe,100,SO,1571781454,75,8.41,8.41,76.6,6.86
366,Indramayu,62,ID,1571781456,68,-4.05,-4.05,69.93,1.8
367,Dingle,0,PH,1571781458,90,11.0,11.0,73.99,3.25
368,Rongcheng,100,CN,1571781460,85,37.16,37.16,61.16,4.14
369,Banda Aceh,100,ID,1571781461,92,5.56,5.56,73.8,2.32
370,Mirzapur,61,IN,1571781464,52,25.15,25.15,70.84,2.17
371,Bud,99,NO,1571781466,75,62.91,62.91,46.4,4.18
372,Lima,20,PE,1571780870,72,-12.06,-12.06,66.2,9.98
